"biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID","noDescription","charCountDescription","upperCaseDescription","startprice_99end"
"biddable",120,"used","No cellular","None","White","16/32/64 GB","iPad mini 2",0,10413,"no description",0,0,"not a 99 ending"
"not biddable",280,"used","Cellular","Unknown","Black","16/32/64 GB","iPad 4",0,10414,"no description",0,0,"not a 99 ending"
"biddable",33,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10415,"no description",0,0,"not a 99 ending"
"biddable",89.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10416,"no description",0,0,"99 ending"
"biddable",115,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10417,"contains description",59,2,"not a 99 ending"
"biddable",130,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",1,10418,"no description",0,0,"not a 99 ending"
"biddable",9.5,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10419,"contains description",11,2,"not a 99 ending"
"biddable",0.99,"used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10420,"contains description",101,76,"99 ending"
"biddable",0.99,"refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",1,10421,"no description",0,0,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","Unknown",1,10422,"no description",0,0,"99 ending"
"biddable",350,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 4",0,10423,"no description",0,0,"not a 99 ending"
"not biddable",249.99,"refurbished","Cellular","Verizon","Black","16/32/64 GB","iPad 4",0,10424,"contains description",94,5,"99 ending"
"biddable",200,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10425,"contains description",98,3,"not a 99 ending"
"not biddable",310,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10426,"contains description",93,4,"not a 99 ending"
"biddable",245,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad Air 1/2",1,10427,"no description",0,0,"not a 99 ending"
"not biddable",458,"new","Cellular","Sprint/T-Mobile","White","128 GB","iPad mini 2",0,10428,"no description",0,0,"not a 99 ending"
"not biddable",265,"used","Cellular","Unknown","White","16/32/64 GB","iPad 4",0,10429,"contains description",100,4,"not a 99 ending"
"biddable",89,"used","Cellular","Unknown","White","16/32/64 GB","iPad 1",1,10430,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 3",1,10431,"no description",0,0,"99 ending"
"not biddable",228.59,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 2",0,10432,"contains description",99,15,"not a 99 ending"
"not biddable",249.97,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 3",0,10433,"no description",0,0,"not a 99 ending"
"not biddable",249.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10434,"contains description",101,4,"99 ending"
"biddable",250,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 3",1,10435,"no description",0,0,"not a 99 ending"
"not biddable",500,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10436,"contains description",95,5,"not a 99 ending"
"biddable",100,"used","No cellular","None","White","16/32/64 GB","iPad mini",1,10437,"contains description",32,0,"not a 99 ending"
"biddable",1,"new","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",1,10438,"no description",0,0,"not a 99 ending"
"biddable",299,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10439,"no description",0,0,"99 ending"
"not biddable",340,"new","No cellular","None","Unknown","16/32/64 GB","iPad 2",0,10440,"contains description",98,1,"not a 99 ending"
"biddable",0.99,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10441,"no description",0,0,"99 ending"
"biddable",9.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",1,10442,"no description",0,0,"99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10443,"contains description",98,0,"not a 99 ending"
"biddable",25,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10444,"no description",0,0,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10445,"no description",0,0,"99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10446,"contains description",62,2,"not a 99 ending"
"biddable",248.18,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",1,10447,"no description",0,0,"not a 99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10448,"no description",0,0,"not a 99 ending"
"biddable",200,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10449,"contains description",38,1,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10450,"contains description",31,1,"99 ending"
"not biddable",185,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10451,"no description",0,0,"not a 99 ending"
"biddable",1.99,"used","Cellular","Unknown","Space Gray","128 GB","iPad Air 1/2",1,10452,"contains description",41,33,"99 ending"
"not biddable",325,"new","No cellular","None","Black","16/32/64 GB","iPad mini3",1,10453,"no description",0,0,"not a 99 ending"
"biddable",125,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10454,"no description",0,0,"not a 99 ending"
"biddable",190,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",0,10455,"no description",0,0,"not a 99 ending"
"biddable",150,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10456,"no description",0,0,"not a 99 ending"
"biddable",125,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10457,"no description",0,0,"not a 99 ending"
"not biddable",229.99,"used","Cellular","Verizon","Space Gray","16/32/64 GB","iPad 1",1,10458,"no description",0,0,"99 ending"
"biddable",0.99,"new","Cellular","Unknown","Unknown","16/32/64 GB","iPad mini3",1,10459,"no description",0,0,"99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10460,"no description",0,0,"99 ending"
"not biddable",400,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10461,"contains description",20,1,"not a 99 ending"
"biddable",199,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad mini3",1,10462,"no description",0,0,"99 ending"
"biddable",40,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10463,"no description",0,0,"not a 99 ending"
"biddable",75,"used","Cellular","Unknown","White","16/32/64 GB","iPad 2",1,10464,"contains description",96,1,"not a 99 ending"
"not biddable",188.99,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10465,"contains description",100,4,"99 ending"
"not biddable",99.94,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10466,"contains description",97,12,"not a 99 ending"
"biddable",249.98,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",1,10467,"contains description",101,7,"not a 99 ending"
"biddable",299,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10468,"no description",0,0,"99 ending"
"not biddable",225,"used","Unknown","Unknown","Unknown","Unknown","iPad 3",0,10469,"contains description",99,2,"not a 99 ending"
"biddable",19.99,"used","No cellular","None","Black","16/32/64 GB","iPad 1",1,10470,"no description",0,0,"99 ending"
"not biddable",110,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 1",0,10471,"contains description",103,10,"not a 99 ending"
"biddable",200,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10472,"no description",0,0,"not a 99 ending"
"biddable",249,"new","Cellular","AT&T","Space Gray","16/32/64 GB","iPad mini",0,10473,"no description",0,0,"not a 99 ending"
"biddable",125,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10474,"no description",0,0,"not a 99 ending"
"biddable",1,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 2",1,10475,"no description",0,0,"not a 99 ending"
"biddable",60,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10476,"no description",0,0,"not a 99 ending"
"biddable",179.99,"used","Cellular","Unknown","White","16/32/64 GB","iPad 3",1,10477,"no description",0,0,"99 ending"
"biddable",5,"used","Unknown","Unknown","White","16/32/64 GB","Unknown",1,10478,"no description",0,0,"not a 99 ending"
"biddable",90,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10479,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10480,"no description",0,0,"99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10481,"contains description",33,1,"not a 99 ending"
"not biddable",115,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",1,10482,"no description",0,0,"not a 99 ending"
"not biddable",249,"used","Cellular","Verizon","Black","16/32/64 GB","iPad mini",0,10483,"contains description",105,4,"not a 99 ending"
"biddable",50,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",1,10484,"no description",0,0,"not a 99 ending"
"not biddable",252.99,"refurbished","Cellular","AT&T","Black","16/32/64 GB","iPad 3",0,10485,"contains description",17,1,"99 ending"
"biddable",1,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10486,"no description",0,0,"not a 99 ending"
"biddable",80,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10487,"no description",0,0,"not a 99 ending"
"biddable",40,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10488,"no description",0,0,"not a 99 ending"
"biddable",100,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",0,10489,"contains description",95,3,"not a 99 ending"
"not biddable",408,"refurbished","Cellular","Verizon","Unknown","16/32/64 GB","iPad Air 1/2",1,10490,"no description",0,0,"not a 99 ending"
"biddable",5,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10491,"contains description",77,1,"not a 99 ending"
"biddable",125,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10492,"no description",0,0,"not a 99 ending"
"biddable",49.99,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10493,"no description",0,0,"99 ending"
"not biddable",124.95,"used","No cellular","None","White","16/32/64 GB","iPad 1",0,10494,"no description",0,0,"not a 99 ending"
"biddable",159.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10495,"no description",0,0,"99 ending"
"biddable",130,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10496,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad 3",1,10497,"no description",0,0,"99 ending"
"not biddable",89.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",0,10498,"no description",0,0,"99 ending"
"biddable",111.5,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10499,"contains description",100,4,"not a 99 ending"
"not biddable",315,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10500,"contains description",93,4,"not a 99 ending"
"biddable",199.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",1,10501,"no description",0,0,"99 ending"
"biddable",160,"used","Cellular","AT&T","White","16/32/64 GB","iPad 4",1,10502,"no description",0,0,"not a 99 ending"
"not biddable",184.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 2",0,10503,"contains description",101,2,"99 ending"
"biddable",150,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10504,"no description",0,0,"not a 99 ending"
"biddable",75,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10505,"no description",0,0,"not a 99 ending"
"not biddable",200,"used","Cellular","Verizon","Space Gray","16/32/64 GB","iPad mini 2",0,10506,"contains description",94,5,"not a 99 ending"
"biddable",118,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10507,"no description",0,0,"not a 99 ending"
"not biddable",199.99,"used","No cellular","None","White","16/32/64 GB","iPad 4",0,10508,"no description",0,0,"99 ending"
"biddable",250,"used","Cellular","AT&T","Black","16/32/64 GB","iPad mini 2",1,10509,"no description",0,0,"not a 99 ending"
"biddable",99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini3",1,10510,"no description",0,0,"99 ending"
"biddable",150,"new","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10511,"no description",0,0,"not a 99 ending"
"not biddable",79,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10512,"contains description",15,0,"not a 99 ending"
"not biddable",399.99,"new","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",0,10513,"no description",0,0,"99 ending"
"biddable",59.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10514,"no description",0,0,"99 ending"
"not biddable",210,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10515,"contains description",28,25,"not a 99 ending"
"biddable",92.49,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10516,"no description",0,0,"not a 99 ending"
"biddable",99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10517,"no description",0,0,"99 ending"
"not biddable",154,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10518,"contains description",93,4,"not a 99 ending"
"biddable",149.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10519,"contains description",97,2,"99 ending"
"not biddable",169.99,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini",0,10520,"contains description",95,9,"99 ending"
"biddable",120,"used","Cellular","Unknown","White","16/32/64 GB","iPad 2",1,10521,"no description",0,0,"not a 99 ending"
"not biddable",195,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,10522,"contains description",98,2,"not a 99 ending"
"not biddable",425,"used","Cellular","AT&T","Gold","16/32/64 GB","iPad Air 1/2",0,10523,"no description",0,0,"not a 99 ending"
"biddable",200,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",1,10524,"no description",0,0,"not a 99 ending"
"not biddable",300,"used","Unknown","Unknown","Unknown","Unknown","Unknown",1,10525,"no description",0,0,"not a 99 ending"
"biddable",69,"used","No cellular","None","Black","16/32/64 GB","iPad 1",0,10526,"contains description",47,1,"not a 99 ending"
"biddable",300,"refurbished","No cellular","None","White","16/32/64 GB","iPad 4",0,10527,"no description",0,0,"not a 99 ending"
"biddable",149,"used","No cellular","None","White","16/32/64 GB","iPad mini",0,10528,"contains description",87,8,"not a 99 ending"
"biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10529,"contains description",97,9,"not a 99 ending"
"biddable",110,"used","Cellular","Verizon","Unknown","16/32/64 GB","iPad mini",1,10530,"no description",0,0,"not a 99 ending"
"biddable",99,"new","No cellular","None","White","16/32/64 GB","iPad 2",1,10531,"contains description",50,1,"99 ending"
"biddable",224.98,"used","No cellular","None","White","16/32/64 GB","iPad 4",0,10532,"contains description",97,8,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10533,"no description",0,0,"99 ending"
"not biddable",89,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 1",1,10534,"no description",0,0,"not a 99 ending"
"biddable",380,"new","No cellular","None","White","128 GB","iPad Air 1/2",1,10535,"no description",0,0,"not a 99 ending"
"biddable",149.99,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",1,10536,"contains description",97,5,"99 ending"
"not biddable",14,"used","No cellular","None","Black","16/32/64 GB","Unknown",0,10537,"no description",0,0,"not a 99 ending"
"biddable",120,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini 2",1,10538,"no description",0,0,"not a 99 ending"
"not biddable",149,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10539,"contains description",100,4,"not a 99 ending"
"biddable",99.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10540,"contains description",19,1,"99 ending"
"biddable",400,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10541,"no description",0,0,"not a 99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad 3",1,10542,"contains description",69,1,"not a 99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10543,"contains description",21,1,"not a 99 ending"
"not biddable",475,"used","No cellular","None","Gold","16/32/64 GB","iPad Air 1/2",1,10544,"contains description",33,1,"not a 99 ending"
"biddable",99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10545,"no description",0,0,"99 ending"
"not biddable",394.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10546,"contains description",26,1,"99 ending"
"not biddable",175,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",0,10547,"no description",0,0,"not a 99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10548,"contains description",94,1,"not a 99 ending"
"biddable",300,"new","No cellular","None","Unknown","128 GB","iPad Air 1/2",1,10549,"no description",0,0,"not a 99 ending"
"not biddable",399.99,"new","Cellular","Verizon","Space Gray","16/32/64 GB","iPad mini",0,10550,"no description",0,0,"99 ending"
"biddable",9.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10551,"no description",0,0,"not a 99 ending"
"biddable",59,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",1,10552,"contains description",82,1,"not a 99 ending"
"biddable",50,"used","No cellular","None","Unknown","16/32/64 GB","Unknown",1,10553,"no description",0,0,"not a 99 ending"
"not biddable",234,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10554,"contains description",54,2,"not a 99 ending"
"not biddable",349.99,"new","No cellular","None","Gold","16/32/64 GB","iPad mini3",0,10555,"no description",0,0,"99 ending"
"biddable",72,"used","No cellular","None","Space Gray","16/32/64 GB","iPad 1",1,10556,"no description",0,0,"not a 99 ending"
"not biddable",170,"used","No cellular","None","Space Gray","16/32/64 GB","Unknown",1,10557,"contains description",24,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10558,"no description",0,0,"99 ending"
"not biddable",325,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 4",0,10559,"contains description",73,3,"not a 99 ending"
"not biddable",140,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10560,"contains description",99,1,"not a 99 ending"
"biddable",0.01,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10561,"no description",0,0,"not a 99 ending"
"not biddable",147.59,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10562,"contains description",75,1,"not a 99 ending"
"not biddable",399.99,"used","Cellular","AT&T","Gold","16/32/64 GB","iPad Air 1/2",0,10563,"contains description",99,4,"99 ending"
"biddable",95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10564,"no description",0,0,"not a 99 ending"
"not biddable",499,"used","Cellular","Verizon","Gold","16/32/64 GB","iPad Air 1/2",0,10565,"contains description",95,22,"99 ending"
"biddable",45,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10566,"no description",0,0,"not a 99 ending"
"biddable",125,"used","No cellular","None","Space Gray","16/32/64 GB","iPad 2",0,10567,"contains description",98,3,"not a 99 ending"
"not biddable",82.95,"used","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10568,"no description",0,0,"not a 99 ending"
"biddable",150,"used","No cellular","None","White","16/32/64 GB","iPad 2",0,10569,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 4",1,10570,"no description",0,0,"99 ending"
"biddable",199.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad Air 1/2",1,10571,"contains description",69,2,"99 ending"
"biddable",185,"used","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",1,10572,"contains description",44,1,"not a 99 ending"
"biddable",201.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini 2",1,10573,"contains description",92,2,"99 ending"
"not biddable",289.99,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 4",0,10574,"contains description",67,1,"99 ending"
"not biddable",219.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad mini",0,10575,"no description",0,0,"99 ending"
"biddable",89.99,"used","No cellular","None","Black","16/32/64 GB","iPad Air 1/2",1,10576,"no description",0,0,"99 ending"
"biddable",279,"used","Cellular","Verizon","Black","16/32/64 GB","iPad Air 1/2",1,10577,"contains description",99,1,"not a 99 ending"
"biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10578,"no description",0,0,"not a 99 ending"
"biddable",0.99,"refurbished","No cellular","None","White","16/32/64 GB","iPad 3",1,10579,"contains description",101,3,"99 ending"
"biddable",49.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad Air 1/2",1,10580,"no description",0,0,"99 ending"
"biddable",75,"refurbished","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10581,"contains description",98,4,"not a 99 ending"
"biddable",149.99,"refurbished","Cellular","Unknown","Black","16/32/64 GB","Unknown",1,10582,"no description",0,0,"99 ending"
"not biddable",275,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10583,"contains description",95,6,"not a 99 ending"
"biddable",249,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",1,10584,"contains description",99,11,"not a 99 ending"
"biddable",0.99,"used","Unknown","Unknown","Black","Unknown","Unknown",1,10585,"no description",0,0,"99 ending"
"not biddable",198,"used","Cellular","Verizon","White","16/32/64 GB","iPad 1",0,10586,"contains description",99,4,"not a 99 ending"
"not biddable",300,"used","Cellular","AT&T","Space Gray","16/32/64 GB","iPad Air 1/2",0,10587,"contains description",99,5,"not a 99 ending"
"biddable",111,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",1,10588,"no description",0,0,"not a 99 ending"
"biddable",100,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10589,"no description",0,0,"not a 99 ending"
"not biddable",410,"used","Cellular","Sprint/T-Mobile","Space Gray","16/32/64 GB","iPad Air 1/2",0,10590,"no description",0,0,"not a 99 ending"
"not biddable",150,"used","No cellular","None","Black","16/32/64 GB","iPad 2",0,10591,"no description",0,0,"not a 99 ending"
"biddable",300,"used","No cellular","None","Space Gray","16/32/64 GB","iPad mini3",1,10592,"no description",0,0,"not a 99 ending"
"biddable",100,"used","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",1,10593,"contains description",54,4,"not a 99 ending"
"not biddable",60,"used","No cellular","None","White","16/32/64 GB","iPad Air 1/2",0,10594,"no description",0,0,"not a 99 ending"
"biddable",113,"used","No cellular","None","White","16/32/64 GB","iPad mini",0,10595,"no description",0,0,"not a 99 ending"
"not biddable",155,"used","Cellular","Verizon","White","16/32/64 GB","iPad 2",0,10596,"contains description",103,3,"not a 99 ending"
"not biddable",90,"used","Cellular","AT&T","White","16/32/64 GB","Unknown",0,10597,"contains description",99,1,"not a 99 ending"
"biddable",180,"new","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10598,"no description",0,0,"not a 99 ending"
"biddable",99.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 2",1,10599,"no description",0,0,"99 ending"
"biddable",30,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10600,"contains description",87,3,"not a 99 ending"
"not biddable",699.95,"refurbished","No cellular","None","Black","16/32/64 GB","iPad 3",0,10601,"contains description",83,3,"not a 99 ending"
"biddable",275,"used","Unknown","Unknown","Unknown","128 GB","Unknown",0,10602,"no description",0,0,"not a 99 ending"
"biddable",94.99,"used","Cellular","AT&T","Black","16/32/64 GB","iPad 1",0,10603,"no description",0,0,"99 ending"
"biddable",0.99,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10604,"no description",0,0,"99 ending"
"not biddable",550,"used","Cellular","Unknown","Unknown","128 GB","iPad Air 1/2",0,10605,"contains description",101,5,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10606,"no description",0,0,"99 ending"
"biddable",210,"new","Unknown","Unknown","Black","Unknown","Unknown",0,10607,"no description",0,0,"not a 99 ending"
"biddable",179,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 3",1,10608,"no description",0,0,"not a 99 ending"
"not biddable",80,"used","No cellular","None","White","16/32/64 GB","Unknown",0,10609,"contains description",99,1,"not a 99 ending"
"not biddable",155,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10610,"contains description",53,3,"not a 99 ending"
"not biddable",150,"used","Unknown","Unknown","White","Unknown","Unknown",1,10611,"no description",0,0,"not a 99 ending"
"not biddable",209,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 4",1,10612,"no description",0,0,"not a 99 ending"
"not biddable",439.99,"new","Cellular","Sprint/T-Mobile","Black","16/32/64 GB","iPad Air 1/2",0,10613,"no description",0,0,"99 ending"
"not biddable",349.99,"used","Cellular","Verizon","White","16/32/64 GB","iPad mini 2",0,10614,"no description",0,0,"99 ending"
"biddable",200,"used","No cellular","None","Unknown","16/32/64 GB","iPad 4",1,10615,"no description",0,0,"not a 99 ending"
"biddable",150,"used","No cellular","None","Unknown","16/32/64 GB","iPad mini",1,10616,"no description",0,0,"not a 99 ending"
"biddable",0.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10617,"contains description",94,13,"99 ending"
"biddable",100,"used","No cellular","None","Black","16/32/64 GB","iPad mini",1,10618,"contains description",101,18,"not a 99 ending"
"biddable",395,"refurbished","No cellular","None","Space Gray","16/32/64 GB","iPad Air 1/2",0,10619,"no description",0,0,"not a 99 ending"
"biddable",9.99,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10620,"contains description",94,12,"99 ending"
"biddable",125,"used","No cellular","None","Unknown","16/32/64 GB","iPad 2",1,10621,"contains description",27,1,"not a 99 ending"
"not biddable",208.99,"used","No cellular","None","Black","16/32/64 GB","iPad mini",0,10622,"contains description",91,9,"99 ending"
"biddable",9.99,"used","Unknown","Unknown","White","Unknown","iPad 2",1,10623,"no description",0,0,"99 ending"
"biddable",0.01,"used","No cellular","None","Black","16/32/64 GB","iPad 3",1,10624,"contains description",9,0,"not a 99 ending"
"not biddable",559.99,"used","Cellular","AT&T","White","16/32/64 GB","iPad Air 1/2",1,10625,"no description",0,0,"99 ending"
"biddable",60,"used","No cellular","None","Space Gray","16/32/64 GB","iPad 1",1,10626,"contains description",89,2,"not a 99 ending"
"biddable",39.99,"used","No cellular","None","White","16/32/64 GB","iPad 2",1,10627,"contains description",99,6,"99 ending"
"biddable",175,"used","Cellular","Verizon","Black","16/32/64 GB","iPad 2",0,10628,"no description",0,0,"not a 99 ending"
"not biddable",229.98,"used","No cellular","None","White","16/32/64 GB","iPad 3",0,10629,"contains description",98,2,"not a 99 ending"
"not biddable",180,"used","No cellular","None","Black","16/32/64 GB","iPad 2",1,10630,"no description",0,0,"not a 99 ending"
"biddable",0.01,"used","Cellular","AT&T","Unknown","16/32/64 GB","iPad 2",1,10631,"contains description",96,3,"not a 99 ending"
"not biddable",120,"used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10632,"no description",0,0,"not a 99 ending"
"biddable",50,"used","No cellular","None","Black","16/32/64 GB","iPad 4",1,10633,"contains description",45,1,"not a 99 ending"
"biddable",145,"used","No cellular","None","White","16/32/64 GB","iPad mini 2",1,10634,"contains description",96,12,"not a 99 ending"
"biddable",9.95,"used","Unknown","Unknown","Unknown","16/32/64 GB","iPad mini3",1,10635,"no description",0,0,"not a 99 ending"
"biddable",299,"used","Cellular","Unknown","Unknown","16/32/64 GB","iPad mini 2",1,10636,"contains description",72,2,"99 ending"
"not biddable",560,"new","No cellular","None","Unknown","16/32/64 GB","iPad Air 1/2",0,10637,"no description",0,0,"not a 99 ending"
"not biddable",159.95,"new","No cellular","None","Unknown","16/32/64 GB","iPad 1",0,10638,"no description",0,0,"not a 99 ending"
"biddable",49.95,"used","No cellular","None","Unknown","16/32/64 GB","Unknown",1,10639,"contains description",76,2,"not a 99 ending"
